Particulars,Qty,Rate,Amount
5/1 Amp adaptor  powertek,1,,100
Solder Wire,1,,130
16 x 2 Display,1,,200
Panel Solar,1,,60
40 Pin Header,1,,10
Arduino Uno,1,,350
Multimeter,1,,280
1.5 m heat sleeve,1,,50
2 pin top,1,,10
bulb Holder,1,,20
Red 3mm LED,10,2,20
Crocodile Clip Red,4,5,20
PCB,1,,40
Wires 1.5 2mtr,2,15,30
1mm Sleeve,1,,10
Male Header Female,1,,10
Jumper Wire (Male + Male),10pc,,20
Jumper Wire (Female + Female),10pc,,20
100/E Preset,1,,5
4148 Diode,3,3,9
Solder Gun 25 Watt,1,,125
Stand Big solder,1,,70
Cutter Eco,1,,60
Stripper,1,,50
0.46 Lead 2 mtr,2,40,80
330 E Resistor,1,,2
Green Connector pcb,10,5,50
5V / Solar Panel,2,60,120
solder flux,1,,20
desolder pump,1,,70
desolder wick,1,,40
9v battery,1,,20
1k 470 ohm resistor ,15,2,30
,,ONLINE ORDERS,707.1
GRAND TOTAL,,,2838.1
,,,
Product,Quantity,Price,
ULN2803APG 8 Darlington Transistor Arrays IC DIP-18 Package,2,₹ 70.00,
INA219 I2C Bi-Directional Current & Power Monitoring Module,3,₹ 309.00,
LM2596S DC-DC Buck Converter Power Supply,1,₹ 44.00,
1N5819HW-7-F-01-Diodes Incorporated-Schottky Diodes ROHS,10,₹ 35.10,
2.54mm 1x40 Pin Female Single Row Header Strip,2,₹ 14.00,
10 Wire Male to Female Jumper Wires - 20cm,2,₹ 20.00,
10CM Female to Female Breadboard Jumper DuPont 2.54MM 1P-1P Cable 40 Pcs,1,₹ 33.00,
M3*2.5MM Female to Female Nylon Hex Spacer-25 Pcs.,1,₹ 89.00,
5 x 7 cm Universal PCB Prototype Board Double-Side – 2pcs,1,₹ 44.00,
MT3608 2A Max DC-DC Step Up Power Module Booster Power Module,1,₹ 36.00,
2.54mm 1x20 Right Angle Female Header Strip,1,₹ 13.00,
Subtotal:,,707.1,
